k,Vectorizer Type,vector_size,window,Epochs Count,Vectorizer Name,Silhouette Score,WSS Score
5,Word2Vec,50,3,50,CBOW,0.16450831,5.581144332885742
5,Word2Vec,100,3,50,CBOW,0.18969004,6.323141098022461
5,Word2Vec,150,3,50,CBOW,0.20645176,5.6923933029174805
5,Word2Vec,200,3,50,CBOW,0.20428638,5.186473369598389
5,Word2Vec,250,3,50,CBOW,0.1723178,4.716859340667725
5,Word2Vec,300,3,50,CBOW,0.17961803,4.917389869689941
9,Word2Vec,50,3,50,CBOW,0.12677751,5.202650547027588
9,Word2Vec,100,3,50,CBOW,0.1257217,4.3524699211120605
9,Word2Vec,150,3,50,CBOW,0.13872758,4.357677936553955
9,Word2Vec,200,3,50,CBOW,0.14014006,3.8659677505493164
9,Word2Vec,250,3,50,CBOW,0.15616488,3.4683594703674316
9,Word2Vec,300,3,50,CBOW,0.15248294,3.65735125541687
13,Word2Vec,50,3,50,CBOW,0.112015545,5.181979656219482
13,Word2Vec,100,3,50,CBOW,0.11209201,4.558176517486572
13,Word2Vec,150,3,50,CBOW,0.13035092,3.516416072845459
13,Word2Vec,200,3,50,CBOW,0.130651,3.157839298248291
13,Word2Vec,250,3,50,CBOW,0.12900017,3.228741407394409
13,Word2Vec,300,3,50,CBOW,0.14044598,3.3545124530792236
