k,Vectorizer Type,vector_size,window,Epochs Count,Vectorizer Name,Silhouette Score,WSS Score
5,Doc2Vec,4000,3,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,5,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,7,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,10,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,12,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,15,50,DBOW,0.2695049,0.13980528712272644
5,Doc2Vec,4000,20,50,DBOW,0.2695049,0.13980528712272644
9,Doc2Vec,4000,3,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,5,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,7,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,10,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,12,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,15,50,DBOW,0.15396264,0.10201667249202728
9,Doc2Vec,4000,20,50,DBOW,0.15396264,0.10201667249202728
13,Doc2Vec,4000,3,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,5,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,7,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,10,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,12,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,15,50,DBOW,0.106316194,0.09255404770374298
13,Doc2Vec,4000,20,50,DBOW,0.106316194,0.09255404770374298
