k,Vectorizer Type,vector_size,window,Epochs Count,Vectorizer Name,Silhouette Score,WSS Score
5,Word2Vec,400,15,5,Skipgram,0.3181979,0.07235713303089142
5,Word2Vec,400,15,10,Skipgram,0.23802112,0.2335978001356125
5,Word2Vec,400,15,15,Skipgram,0.1714396,0.5139837265014648
5,Word2Vec,400,15,20,Skipgram,0.21267289,0.5690469741821289
5,Word2Vec,400,15,25,Skipgram,0.1511774,0.7778520584106445
5,Word2Vec,400,15,30,Skipgram,0.13015763,0.8933337330818176
9,Word2Vec,400,15,5,Skipgram,0.22330284,0.04695949703454971
9,Word2Vec,400,15,10,Skipgram,0.17462447,0.17018285393714905
9,Word2Vec,400,15,15,Skipgram,0.15161277,0.353864848613739
9,Word2Vec,400,15,20,Skipgram,0.13225946,0.5299539566040039
9,Word2Vec,400,15,25,Skipgram,0.11306542,0.6189736723899841
9,Word2Vec,400,15,30,Skipgram,0.12275775,0.7289520502090454
13,Word2Vec,400,15,5,Skipgram,0.18925893,0.03568555414676666
13,Word2Vec,400,15,10,Skipgram,0.15343201,0.16893820464611053
13,Word2Vec,400,15,15,Skipgram,0.121990554,0.3449513912200928
13,Word2Vec,400,15,20,Skipgram,0.10820959,0.44299545884132385
13,Word2Vec,400,15,25,Skipgram,0.0974694,0.5490358471870422
13,Word2Vec,400,15,30,Skipgram,0.112737,0.7472524046897888
