k,Vectorizer Type,vector_size,window,Epochs Count,Vectorizer Name,Silhouette Score,WSS Score
5,Doc2Vec,4000,3,50,DM,0.31878072,0.08468825370073318
5,Doc2Vec,4000,5,50,DM,0.4059699,0.1781935691833496
5,Doc2Vec,4000,7,50,DM,0.43528697,0.3372640609741211
5,Doc2Vec,4000,10,50,DM,0.4943635,0.594450831413269
5,Doc2Vec,4000,12,50,DM,0.52362597,0.6331598162651062
5,Doc2Vec,4000,15,50,DM,0.4982702,0.7982134222984314
5,Doc2Vec,4000,20,50,DM,0.5144352,0.8115755319595337
9,Doc2Vec,4000,3,50,DM,0.20086847,0.06047714129090309
9,Doc2Vec,4000,5,50,DM,0.32174933,0.08775650709867477
9,Doc2Vec,4000,7,50,DM,0.388037,0.14083707332611084
9,Doc2Vec,4000,10,50,DM,0.44587672,0.2319614440202713
9,Doc2Vec,4000,12,50,DM,0.45299897,0.27837735414505005
9,Doc2Vec,4000,15,50,DM,0.4439241,0.29635605216026306
9,Doc2Vec,4000,20,50,DM,0.46932626,0.29440784454345703
13,Doc2Vec,4000,3,50,DM,0.12869754,0.054967932403087616
13,Doc2Vec,4000,5,50,DM,0.23594764,0.06930943578481674
13,Doc2Vec,4000,7,50,DM,0.33830762,0.08505746722221375
13,Doc2Vec,4000,10,50,DM,0.38711944,0.12984266877174377
13,Doc2Vec,4000,12,50,DM,0.3895991,0.14721086621284485
13,Doc2Vec,4000,15,50,DM,0.43890718,0.15592707693576813
13,Doc2Vec,4000,20,50,DM,0.45067465,0.16765019297599792
